Key,Translation
"AA_ALICE_PRE_BATTLE_ALICE1",YOU IGNORED MY INSTRUCTIONS TO STAY PUT! DON’T YOU RESPECT ME? DON’T YOU REALISE JUST HOW IMPORTANT I AM?!
"AA_ALICE_PRE_BATTLE_KAYLEIGH2",You’ve got a pretty big ego, huh?
"AA_ALICE_PRE_BATTLE_MEREDITH2",No, you’re right. I totally don’t respect you.
"AA_ALICE_PRE_BATTLE_EUGENE2",Buddy, I have NO idea who you are.
"AA_ALICE_PRE_BATTLE_FELIX2",Are we supposed to know who you are…?
"AA_ALICE_PRE_BATTLE_VIOLA2",My respect is not so wantonly given, spirit.
"DOG_NAME",Barkley
"AA_ALICE_PRE_BATTLE_DOG2",Grrrr…
"AA_ALICE_PRE_BATTLE_ALICE3",SUCH RUDENESS, TOWARDS A MEMBER OF ROYALTY NO LESS! IF YOU REFUSE TO USE YOUR HEADS, I’LL JUST HAVE TO TAKE THEM FROM YOUR SHOULDERS!
"AA_ALICE_POST_BATTLE_ALICE1",YOU REALLY HAVE NO RESPECT, DO YOU? HOW INFURIATING!
"AA_ALICE_POST_BATTLE_ALEPH2",MISS ALICE, PLEASURE TO MEET YOU! I NEED SOMEONE WITH YOUR… PEOPLE SKILLS.
"AA_ALICE_POST_BATTLE_KAYLEIGH3",I guess she saw herself as the queen of her own little world, huh?
"AA_ALICE_POST_BATTLE_MEREDITH3",Do all Archangels think so highly of themselves, or was she just a [wave amp=30 freq=10]special[/wave] case?
"AA_ALICE_POST_BATTLE_EUGENE3",These Archangels are pretty rude, huh?
"AA_ALICE_POST_BATTLE_FELIX3",Do you think that Archangel really wanted our heads, or do you think it was a turn of phrase? Actually, don’t answer that. I don’t want to know.
"AA_ALICE_POST_BATTLE_VIOLA3",I will not bow to anyone who speaks so brazenly to me, royalty or otherwise.
"AA_CUBE_POST_BATTLE_CUBE1",ARE MY ANGLES IMPERFECT ALSO? THE CALCULATIONS WERE CORRECT... I HAVE FAILED IN 3 SIMULTANEOUS DIMENSIONS.
"AA_CUBE_POST_BATTLE_ALEPH2",WHAT GOOD TIMING! I WAS JUST THINKING HOW I NEEDED TO RECRUIT SOMEONE WHO’S GOOD WITH NUMBERS. HOW’D YOU LIKE A JOB, MY NEW CUBOID FRIEND?
"AA_CUBE_POST_BATTLE_KAYLEIGH3",It turned out that wasn’t a friendly Archangel after all. Just our luck!
"AA_CUBE_POST_BATTLE_MEREDITH3",AA_CUBE_POST_BATTLE_MEREDITH3
"AA_CUBE_POST_BATTLE_EUGENE3",That Archangel was strange. It felt like no matter what angle I saw it from, it looked the same.
"AA_CUBE_POST_BATTLE_FELIX3",Next time we meet an Archangel, I’ll just assume it wants to kill us straight away.
"AA_CUBE_POST_BATTLE_VIOLA3",If there was method in that spirit’s madness, I did not see it.
"AA_LAMENTO_MORI_POST_BATTLE_ALEPH2",OH NEAT, A BIG SKELETON GUY! EVERY TEAM NEEDS ONE OF THOSE.
"AA_LAMENTO_MORI_POST_BATTLE_KAYLEIGH3",That was pretty creepy, huh? I wonder if what it said was true… [pause]Maybe people [wave amp=30 freq=10]do[/wave] spend their whole lives thinking about death.
"AA_LAMENTO_MORI_POST_BATTLE_MEREDITH3",The number of nightmare creatures that want to kill us on this island is just… [pause]way too high.
"AA_LAMENTO_MORI_POST_BATTLE_EUGENE3",That was the biggest skeleton monster I’ve [wave amp=30 freq=10]ever[/wave] seen! Pretty creepy, huh?
"AA_LAMENTO_MORI_POST_BATTLE_FELIX3",That was… unpleasant.
"AA_LAMENTO_MORI_POST_BATTLE_VIOLA3",Cowards die many times before their deaths, but the valiant never taste of death but once.
"AA_MAMMON_NAME",Mammon
"EUGENE_QUEST5_PART2_MAMMON1",Thank you for arriving at our scheduled meeting. Your cooperation is greatly appreciated.
"EUGENE_QUEST5_PART2_EUGENE2",So you’re behind this, huh?
"EUGENE_QUEST5_PART2_EUGENE3",So tell me: Why would an Archangel try to take over the [shake rate=30 level=10]property market?![/shake] 
"EUGENE_QUEST5_PART2_MAMMON4",My kin are born of humanity’s ego. The strongest desires of your kind give us form.

I exist as tribute to mankind’s consumption.

I want order because you do. I crave structure because you do.
"EUGENE_QUEST5_PART2_EUGENE5",...
"EUGENE_QUEST5_PART2_MAMMON6",I want what you want, Human Eugene. I can read your heart. 
"EUGENE_QUEST5_PART2_EUGENE7",You don’t know a SINGLE thing about me.
"EUGENE_QUEST5_PART2_MAMMON8",I sympathise with the Human Eugene.

The Human Eugene finds no value in themselves outside of their cause.
"EUGENE_QUEST5_PART2_EUGENE10",I...
"EUGENE_QUEST5_PART2_EUGENE11_OPTION1",Don’t listen to it, Eugene!
"EUGENE_QUEST5_PART2_EUGENE12",[shake rate=30 level=10]STOP![/shake] 
"EUGENE_QUEST5_PART2_EUGENE18",[shake rate=30 level=10]It’s the same [pause]old [pause]story![/shake]
"EUGENE_QUEST5_PART2_EUGENE19",{player}...
"EUGENE_QUEST5_PART2_EUGENE20",Wanna burn down this pile of junk?
"EUGENE_QUEST5_PART2_EUGENE20_OPTION1",You know I do.
"EUGENE_QUEST5_PART2_POST_BATTLE_ALEPH1",HO HO, QUITE THE OPERATION YOU HAVE HERE, MR. MAMMON!
"EUGENE_QUEST5_PART2_POST_BATTLE_EUGENE4",This place is falling apart. C’mon, we gotta go!
"AA_PUPPET_POST_BATTLE_ALEPH2",NICE TO MEET YOU, MY HATTED FRIEND! SAY, ARE YOU LOOKING FOR A NEW LINE OF WORK? LET’S TALK!
"AA_PUPPET_POST_BATTLE_KAYLEIGH3",The way that Archangel spoke about us, it was like we weren’t even real… like we were just toys. [pause]Maybe it’ll think differently now that we beat it.
"AA_PUPPET_POST_BATTLE_MEREDITH3",That Archangel better have learned that I am [wave amp=30 freq=10]no-one’s[/wave] plaything.
"AA_PUPPET_POST_BATTLE_EUGENE3",There’s [wave amp=30 freq=10]always[/wave] some monster who thinks that people’s lives are their playthings. [pause]Archangel or man, they’re dangerous all the same.
"AA_PUPPET_POST_BATTLE_FELIX3",Did he make… [pause]dolls of us? I don’t think I’ll sleep easy after that fight, that’s for sure.
"AA_PUPPET_POST_BATTLE_VIOLA3",That spirit saw us as mere toys. Let that be a lesson to us that their kind and ours are not alike, even in the slightest.
"VIOLA_QUEST4_PRE_BATTLE_VIOLA1",...I was expecting more.
"AA_ROBIN_NAME",Robin Goodfellow
"VIOLA_QUEST4_PRE_BATTLE_ROBIN2",I MUST ASK FOR QUIET, PLEASE.
"VIOLA_QUEST4_PRE_BATTLE_VIOLA4",What “show”? Who [wave amp=30 freq=10]are[/wave] you?
"VIOLA_QUEST4_PRE_BATTLE_ROBIN5",WHY, I AM BUT A MERRY WANDERER OF THE NIGHT…

THEY CALL ME HOBGOBLIN, AND PUCK...
"VIOLA_QUEST4_PRE_BATTLE_ROBIN6",I AM ROBIN GOODFELLOW!
"VIOLA_QUEST4_PRE_BATTLE_ROBIN7",AND YOU AND I, VIOLA OF MESSALINE, SHARE MUCH HISTORY.
"VIOLA_QUEST4_PRE_BATTLE_ROBIN8",I DISCOVERED THIS BOOK AMONG THE REMAINS OF THE SHIP.

A CURIOUS READ.
"VIOLA_QUEST4_PRE_BATTLE_ROBIN9",LET ME SEE…

PAGE 645 – “TWELFTH NIGHT”.
"VIOLA_QUEST4_PRE_BATTLE_VIOLA11",I do not understand...
"VIOLA_QUEST4_PRE_BATTLE_ROBIN12",AH YES, HERE I AM:

PAGE 365 – “A MIDSUMMER NIGHT’S DREAM”.
"VIOLA_QUEST4_PRE_BATTLE_ROBIN14",MY DEAR VIOLA… YOU AND I?

WE ARE MERELY INVENTIONS OF A MORTAL PLAYWRIGHT – A MR. WILLIAM SHAKESPEARE, IN PARTICULAR.
"VIOLA_QUEST4_PRE_BATTLE_VIOLA17",[pause].[pause].[pause].
"VIOLA_QUEST4_PRE_BATTLE_VIOLA18",Does this “Robin Goodfellow” speak the truth, [pause]{player}?
"VIOLA_QUEST4_PRE_BATTLE_VIOLA19_OPTION1",It’s true.
"VIOLA_QUEST4_PRE_BATTLE_VIOLA20",Thank you.
"VIOLA_QUEST4_PRE_BATTLE_ROBIN21",YOU KNOW I SPEAK THE TRUTH.
"VIOLA_QUEST4_PRE_BATTLE_VIOLA23",I believe…
"VIOLA_QUEST4_PRE_BATTLE_VIOLA24",I believe your “truth” changes nothing.
"VIOLA_QUEST4_PRE_BATTLE_VIOLA28",[shake rate=30 level=10]I defy them![/shake] 
"VIOLA_QUEST4_PRE_BATTLE_ROBIN29",HA HA HA!

HOW UNEXPECTED!
"VIOLA_QUEST4_POST_BATTLE_ALEPH1",YOU SEEM TO BE IN A BIT OF A BIND, DON’T YOU MR. GOODFELLOW?
"VIOLA_QUEST4_POST_BATTLE_VIOLA3",We would be wise to return to our place of safety…
"AA_TOWER_POST_BATTLE_ALEPH2",HEY, BUDDY! LOOKS LIKE YOU’RE LOSING A FIGHT HERE. WHY DON’T YOU COME WITH ME?
"AA_TOWER_POST_BATTLE_KAYLEIGH3",I think we gave that Archangel a “reality check”, wouldn’t you say?
"AA_TOWER_POST_BATTLE_MEREDITH3",I guess even the most [wave amp=30 freq=10]annoying[/wave] Archangel will shut up if you punch it enough times. We should take that lesson to heart.
"AA_TOWER_POST_BATTLE_EUGENE3",Archangels may be powerful, but that doesn’t mean that they’re smart.
"AA_TOWER_POST_BATTLE_FELIX3",That Archangel was a pretty big fan of talking nonsense, huh? At least we got it to shut up.
"AA_TOWER_POST_BATTLE_VIOLA3",That spirit had little sense left in its words. Perhaps its defeat at our hands shall humble it.
"AA_CUBE_PRE_BATTLE_CUBE1",3RD DIMENSIONAL SPACE IS IMPERFECT. SCIENCE AND MATHEMATICS REMAIN TRUE. ALL THINGS HAVE 4 SIDES.
"AA_CUBE_PRE_BATTLE_KAYLEIGH2",This Archangel seems a bit eccentric, but maybe it’s a friendly one!
"AA_CUBE_PRE_BATTLE_MEREDITH2",I’d say this thing hasn’t got its head screwed on right, [pause]but it seems to lack a head altogether.
"AA_CUBE_PRE_BATTLE_EUGENE2",This thing is kind of hard to look at...
"AA_CUBE_PRE_BATTLE_FELIX2",Perhaps this one won’t try to attack us. What do you think?
"AA_CUBE_PRE_BATTLE_VIOLA2",Is this spirit a philosopher of sorts? Or is it simply in the grips of madness?
"AA_CUBE_PRE_BATTLE_DOG2",Arf?
"AA_CUBE_PRE_BATTLE_CUBE3",NO. I SEE INCONSISTENCY WITHIN YOU. YOU ARE IMPERFECT BEINGS. LET ME RIGHT ALL YOUR WRONG ANGLES!
"AA_LAMENTO_MORI_POST_BATTLE_LM1",NOT EVEN OUR KIND CAN ESCAPE TRUE DEATH...
"AA_LAMENTO_MORI_PRE_BATTLE_AA1",YOU MEAT THINGS DREAM OF DEATH SO MUCH. YOU SPEND YOUR ENTIRE SHORT LIVES DREAMING OF IT. IS THAT WHAT BRINGS YOU TO ME?
"AA_LAMENTO_MORI_PRE_BATTLE_KAYLEIGH2",Are you asking… if we came here to die? [pause]I don’t think we did, to be honest with you.
"AA_LAMENTO_MORI_PRE_BATTLE_MEREDITH2",This guy looks pretty metal. [pause]I get the impression he might want to kill us, though.
"AA_LAMENTO_MORI_PRE_BATTLE_EUGENE2",Nah, we came here to fight.
"AA_LAMENTO_MORI_PRE_BATTLE_FELIX2",I feel like this doesn’t bode well for us.
"AA_LAMENTO_MORI_PRE_BATTLE_VIOLA2",I fear death not – [pause]a brave death outweighs a coward’s life!
"AA_LAMENTO_MORI_PRE_BATTLE_DOG2",Grrrr...
"AA_LAMENTO_MORI_PRE_BATTLE_AA3",LET ME FEAST ON YOUR FEAR, AS I SHOW YOU A TRUE DEATH.
"LENNA_NAME",Lenna
"LENNA_SUBTITLE",Hero of Another Story
"LENNA_UNKNOWN_NAME",Cloaked Figure
"LENNA_ENCOUNTER_LENNA4",LENNA_ENCOUNTER_LENNA4
"LENNA_ENCOUNTER_LENNA5",LENNA_ENCOUNTER_LENNA5
"KAYLEIGH_ARCHANGEL_REACTION1_1",It’s an [shake rate=30 level=10]Archangel[/shake]…
"KAYLEIGH_ARCHANGEL_REACTION2",Another Archangel… It’s as [shake rate=30 level=10]painful[/shake] to look at as the others…
"KAYLEIGH_ARCHANGEL_REACTION3",An [shake rate=30 level=10]Archangel[/shake]! Be on you guard, {player}!
"MEREDITH_ARCHANGEL_REACTION1_1",[shake rate=30 level=10]Wh-what is that?![/shake] [pause]Why does it look so… [shake rate=30 level=10]wrong?![/shake]
"MEREDITH_ARCHANGEL_REACTION2_1",I-it’s another Archangel…
"MEREDITH_ARCHANGEL_REACTION3",Oh. [pause]An Archangel. [pause]We’re in [wave amp=30 freq=10]trouble[/wave] again, aren’t we?
"EUGENE_ARCHANGEL_REACTION1_1",What – [pause]how – [pause]does that [wave amp=30 freq=10]thing[/wave] look like… [wave amp=30 freq=10]that[/wave]?! [pause]It’s breaking my brain…
"EUGENE_ARCHANGEL_REACTION2",It’s an Archangel again! [pause]Urgh, [pause]just looking at it makes me feel like it’s [wave amp=30 freq=10]not supposed to be here[/wave]…
"EUGENE_ARCHANGEL_REACTION3",[shake rate=30 level=10]An Archangel![/shake] [pause]Get ready, {player}!
"FELIX_ARCHANGEL_REACTION1_1",I-I’ve never seen anything like this… [pause]what’s going on, {player}...? [pause]Why does it look like [shake rate=30 level=10]that[/shake]?!
"FELIX_ARCHANGEL_REACTION2_1",Another Archangel! Just looking at it takes some courage. My whole body is [shake rate=30 level=10]screaming[/shake] at me to turn away.
"FELIX_ARCHANGEL_REACTION3",I’m [wave amp=30 freq=10]never[/wave] gonna get used to the feeling of seeing an Archangel…
"VIOLA_ARCHANGEL_REACTION1_1",[shake rate=30 level=10]This spirit![/shake] I have not seen another like it… [pause]It is as if it is not [shake rate=30 level=10]meant[/shake] for our world.
"VIOLA_ARCHANGEL_REACTION2",Another spirit which defies all rational thought! I can [shake rate=30 level=10]barely[/shake] keep my gaze upon it…
"VIOLA_ARCHANGEL_REACTION3",{player} – it is another one of those [shake rate=30 level=10]fell spirits[/shake]! The ones you call “Archangel”.
"POSTGAME_MORGANTE_PRE_BATTLE1",AH, {player.to_upper} AND {partner.to_upper}.

HOW FORTUNATE YOU SHOULD APPEAR JUST AS I HAVE NEED OF A SACRIFICE.

TRULY THE MER-LINE SMILES ON US TODAY.
"POSTGAME_MORGANTE_POST_BATTLE",A SACRIFICE IS A SACRIFICE. THE RITUAL IS COMPLETE.

ARCHANGELS HAVE RETURNED TO NEW WIRRAL.
"AA_PUPPET_POST_BATTLE_PUPPET1",MY DOLLS! YOU HAVE KILLED MY DOLLS!
"AA_PUPPET_PRE_BATTLE_AA1",ARE YOU MORE TOYS FOR MY COLLECTION? I DESIRE MORE PLAYTHINGS...
"AA_PUPPET_PRE_BATTLE_KAYLEIGH2",This Archangel’s eyes are creeping me out...
"AA_PUPPET_PRE_BATTLE_MEREDITH2",Sorry, mate. We’re not here to play.
"AA_PUPPET_PRE_BATTLE_EUGENE2",Are people just toys to your kind, huh?!
"AA_PUPPET_PRE_BATTLE_FELIX2",I don’t know if this guy has our best interests at heart.
"AA_PUPPET_PRE_BATTLE_VIOLA2",I sense no kindness in this spirit’s words.
"AA_PUPPET_PRE_BATTLE_DOG2",Grrrr...
"AA_PUPPET_PRE_BATTLE_AA3",YES… YOU TWO WILL MAKE A FINE PAIR OF GLOVE PUPPETS! HAHAHAHA
"KAYLEIGH_STATION_REACTION1",Is this… [pause]a train station? It should be OK to take a look around, right?
"KAYLEIGH_STATION_REACTION2",Another one of these old train stations… I haven’t forgotten about the [wave amp=30 freq=10]first time[/wave] we uncovered one of these.
"KAYLEIGH_STATION_REACTION3",I’m getting pretty used to these dusty old train stations. The silence is still pretty creepy, though.
"MEREDITH_STATION_REACTION1",Uh, [pause]does this island have an underground railway network? I’m guessing that this has been here for a [wave amp=30 freq=10]while[/wave]…
"MEREDITH_STATION_REACTION2",Another underground train station, huh? I wonder who built these?
"MEREDITH_STATION_REACTION3A",There’s something weird about these underground stations. They [wave amp=30 freq=10]almost[/wave] look like they were man-made, but they don’t quite [wave amp=30 freq=10]feel[/wave] right. 
"EUGENE_STATION_REACTION1",What?! [pause]Is this a [shake rate=30 level=10]train station[/shake]?! No-one ever said something like THIS was on New Wirral!
"EUGENE_STATION_REACTION2",Another train station, huh? This island sure holds some secrets…
"EUGENE_STATION_REACTION3",Man, we might be some of the first people to step foot in here for a LONG time…
"FELIX_STATION_REACTION1",Wait, is this a train station?! No-one in town ever mentioned this… do the people here not know about this?
"FELIX_STATION_REACTION2",These train stations give me the creeps. I feel like we’re not meant to be here…
"FELIX_STATION_REACTION3",Yet another ancient train station. Something must have happened to cause these to emerge recently, right?
"VIOLA_STATION_REACTION1",This place feels unwelcoming… more so than the rest of this strange land.
"VIOLA_STATION_REACTION2",The air here sits heavy in my lungs. This place has been in slumber for an age, I can feel it.
"VIOLA_STATION_REACTION3",Another one of these old and curious places. I would not like to be here longer than is necessary, {player}.
"KAYLEIGH_PLATFORM_REACTION1_1",The pressure here is [shake rate=30 level=10]overwhelming[/shake]… it felt like this when Morgante first appeared…
"KAYLEIGH_PLATFORM_REACTION1_2",It’s like there’s a [shake rate=30 level=10]really[/shake] loud noise in the air, but I can’t hear it…
"KAYLEIGH_PLATFORM_REACTION2_1",That feeling again. Like radio static in my brain…
"KAYLEIGH_PLATFORM_REACTION2_2",The air tastes like metal… It hurts my head just being here…
"KAYLEIGH_PLATFORM_REACTION3_1",It’s that atmosphere again…
"KAYLEIGH_PLATFORM_REACTION3_2",I’m getting used to it now, but it still makes my head hurt…
"MEREDITH_PLATFORM_REACTION1_1",What’s WRONG with this place? [pause]It feels like there’s something [wave amp=30 freq=10]pushing[/wave] against me…
"MEREDITH_PLATFORM_REACTION1_2",It’s like there’s television static in my brain…
"MEREDITH_PLATFORM_REACTION2_1",There’s that [wave amp=30 freq=10]weird[/wave] feeling again... It still sucks.
"MEREDITH_PLATFORM_REACTION2_2",MEREDITH_PLATFORM_REACTION2_2
"MEREDITH_PLATFORM_REACTION3_1",I think I’m slowly getting used to the feeling of being on these station platforms.
"MEREDITH_PLATFORM_REACTION3_2",The key is to ignore that your head feels like it’s gonna [wave amp=30 freq=10]explode[/wave].
"EUGENE_PLATFORM_REACTION1_1",Do you feel that, {player}? It’s like radio static that I can’t [wave amp=30 freq=10]hear[/wave], [pause]but I can [wave amp=30 freq=10]feel[/wave]...
"EUGENE_PLATFORM_REACTION1_2",It’s messed up…
"EUGENE_PLATFORM_REACTION2_1",It’s that weird atmosphere again… Can you feel it?
"EUGENE_PLATFORM_REACTION2_2",It makes my teeth itch…
"EUGENE_PLATFORM_REACTION3_1",Oh, that [wave amp=30 freq=10]painful atmosphere[/wave] is back. That never means anything good.
"EUGENE_PLATFORM_REACTION3_2",Stay on your guard, buddy.
"FELIX_PLATFORM_REACTION1_1",Oh man, what’s that noise? [pause]I don’t mean, like, a noise you can hear. [pause]It’s like there’s something wrong with the air…
"FELIX_PLATFORM_REACTION1_2",This place feels [wave amp=30 freq=10]really[/wave] bad to be in…
"FELIX_PLATFORM_REACTION2_1",There’s that [wave amp=30 freq=10]presence[/wave] again. It makes the hairs on the back of my arms stand up.
"FELIX_PLATFORM_REACTION2_2",It’s really hard to [wave amp=30 freq=10]think[/wave] here. [pause]Do you get that?
"FELIX_PLATFORM_REACTION3_1",Once again, it’s that [wave amp=30 freq=10]really bad feeling[/wave] in the air. I’m kind of used to it at this point, at least.
"FELIX_PLATFORM_REACTION3_2",…Nah, I’ve changed my mind. I don’t think I’ll [wave amp=30 freq=10]ever[/wave] get used to this.
"VIOLA_PLATFORM_REACTION1_1",VIOLA_PLATFORM_REACTION1_1
"VIOLA_PLATFORM_REACTION1_2",Can you not feel it so? A sense of wrongness that lingers in the air, making it hard to breathe.
"VIOLA_PLATFORM_REACTION2_1",That accursed feeling is here again, {player}. It leaves a well of dread within me.
"VIOLA_PLATFORM_REACTION2_2",To step further feels like wading through an ocean…
"VIOLA_PLATFORM_REACTION3_1",I am slowly becoming accustomed to this hostile feeling in this place. After all, have we not braved it several times before now?
"VIOLA_PLATFORM_REACTION3_2",Yes, we must press on. It would take more than this unpleasant aura to stop me.
"AA_TOWER_POST_BATTLE_TOWER1",THERE IS ONE TRUTH NOW CLEAR TO ME… I HAVE BEEN BESTED… 
